test_id,category,title,suite_result,method,endpoint,status_code,date_et,evidence_file,sha256
13,CATEGORY 2: PARAMETER VALIDATION TESTS,Pagination - Maximum Limit,PASS,GET,/repos/{owner}/{repo}/issues?per_page=100,200,2025-12-14 20:51 ET,evidence/raw/TEST-013_GET_repos_owner_repo_issues_per_page_100_200_20251214_2051ET.json,b9fa4cde30a915e0a7a7634599994952c2a4467d53210d332e1a037eb15e81ad
14,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Single Label,PASS,GET,/repos/{owner}/{repo}/issues?labels=bug,200,2025-12-14 20:57 ET,evidence/raw/TEST-014_GET_repos_openai_codex_issues_labels_bug_200_20251214_2057ET.json,2f2cfdf34c56c446b170aaddb739d4e7342678d7fe0137f66330879a00e94c94
15,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Multiple Labels,PASS,GET,"/repos/{owner}/{repo}/issues?labels=bug,extension",200,2025-12-14 21:18 ET,evidence/raw/TEST-015_GET_repos_openai_codex_issues_labels_type_bug_status_conf_200_20251214_2118ET.json,534e56687a491b5c6ded4fa2285dd4b11cbc310b783173d9f5dab3fe8e64ef5c
16,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Assignee - Specific User,PASS,GET,/repos/{owner}/{repo}/issues?assignee={username},200,2025-12-18 16:04 ET,evidence/raw/TEST-016_GET_unknown_200_20251218_1604ET.json,cfcb89c345e576cfd26e2a762c382bf130a23fba7cb98fc5fc35aab706189584
16a,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Assignee - No Assignee,PASS,GET,/repos/{owner}/{repo}/issues?assignee=none,200,2025-12-18 18:03 ET,evidence/raw/TEST-016A_GET_unknown_200_20251218_1803ET.json,9848540124f295a7134b75dfa79b82f52c5d9ce0cd46ed80a221cd1e2cdd62c1
16b,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Assignee - Any User,PASS,GET,/repos/{owner}/{repo}/issues?assignee=*,200,2026-01-13 21:29 ET,evidence/raw/TEST-016B_GET_repos_facebook_react_issues_assignee_unknown_200_20260113_2129ET.json,3c3ba25345a3424993e26bd465ac9e341d131ca7d538eefa030b12910d912cb7
17,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Creator,PASS,GET,/repos/{owner}/{repo}/issues?creator={username},200,2025-12-18 18:08 ET,evidence/raw/TEST-017_GET_unknown_200_20251218_1808ET.json,3271f7983c42ce71e6666fb3b2eb7049aec879985206bf21e56b5d5119019117
18,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Mentioned,PASS,GET,/repos/{owner}/{repo}/issues?mentioned={username},200,2025-12-18 22:47 ET,evidence/raw/TEST-018_GET_unknown_200_20251218_2247ET.json,06f10baaeb1e6742de6b68321ef04b26df0e22354026ed302bc167416f335c44
19,CATEGORY 2: PARAMETER VALIDATION TESTS,Sort by Created Date (Default),PASS,GET,/repos/{owner}/{repo}/issues?sort=created,200,2025-12-14 21:46 ET,evidence/raw/TEST-019_GET_unknown_200_20251214_2146ET.json,da10c69ee5d86d9f6a77e5ef763f9ea504fbec2ba555ca5c7ad778510a1933a5
20,CATEGORY 2: PARAMETER VALIDATION TESTS,Sort by Updated Date,PASS,GET,/repos/{owner}/{repo}/issues?sort=updated,200,2025-12-14 21:51 ET,evidence/raw/TEST-020_GET_repos_owner_repo_issues_sort_updated_200_20251214_2151ET.json,ea928f699823ea131c66e2f6810413344398e991d17d1adaf71253a30573ca37
21,CATEGORY 2: PARAMETER VALIDATION TESTS,Sort by Comments,PASS,GET,/repos/{owner}/{repo}/issues?sort=comments,200,2025-12-14 21:55 ET,evidence/raw/TEST-021_GET_repos_owner_repo_issues_sort_comments_200_20251214_2155ET.json,ae7bf018e607c80eb1e7e6fecf944d79d610698978abdba63629108aee6f1314
22,CATEGORY 2: PARAMETER VALIDATION TESTS,Sort Direction - Ascending,PASS,GET,/repos/{owner}/{repo}/issues?sort=created&direction=asc,200,2025-12-14 21:58 ET,evidence/raw/TEST-022_GET_unknown_200_20251214_2158ET.json,9d08526aa3fefc6676d1116d794035cf5308ab8cbd948f8dfc6bcb815241e0af
23,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Since Timestamp,PASS,GET,/repos/{owner}/{repo}/issues?since=2024-01-01T00:00:00Z,200,2025-12-14 22:02 ET,evidence/raw/TEST-023_GET_unknown_200_20251214_2202ET.json,f4a0b4faa3e33622ab530e299227ce3224562f85354d7e2040497991303de955
24,CATEGORY 2: PARAMETER VALIDATION TESTS,Filter by Milestone,PASS,GET,/repos/{owner}/{repo}/issues?milestone={milestone_number},200,2025-12-18 23:46 ET,evidence/raw/TEST-024_GET_unknown_200_20251218_2346ET.json,46009303bcfeec9536b3c3b1d12c9e2989dd60c8179dc8193b8a9b1083d357c2
25,CATEGORY 2: PARAMETER VALIDATION TESTS,Combine Multiple Filters,PASS,GET,/repos/{owner}/{repo}/issues?state=closed&labels=Type%3A%20Bug,200,2025-12-14 22:09 ET,evidence/raw/TEST-025_GET_repos_owner_repo_issues_state_closed_labels_type_3a_20bug_200_20251214_2209ET.json,9a2aefe67cd4c6e20aac8fe5b5da6c659c54bb1b1be2e1515289f9338777595b
26,CATEGORY 3: COMMENT OPERATIONS TESTS,Create Comment on Issue,PASS,POST,/repos/{owner}/{repo}/issues/{issue_number}/comments,201,2025-12-18 23:51 ET,evidence/raw/TEST-026_POST_repos_owner_repo_issues_2_comments_201_20251218_2351ET.json,9f4627fc482a13d92cddea26721b6f9d4e5f31b0e1b0e0457f6e1fa5af3f20ac
27,CATEGORY 3: COMMENT OPERATIONS TESTS,Create Comment with Markdown,PASS,POST,/repos/{owner}/{repo}/issues/{issue_number}/comments,201,2025-12-19 03:57 ET,evidence/raw/TEST-027_POST_repos_owner_repo_issues_2_comments_201_20251219_0357ET.json,8cf6d4ffed85d435fb0c51989ef4ea7f166297f1663de3cf9307115520954d4b
28,CATEGORY 3: COMMENT OPERATIONS TESTS,Create Comment with @mention,PASS,POST,/repos/{owner}/{repo}/issues/{issue_number}/comments,201,2025-12-19 15:55 ET,evidence/raw/TEST-028_POST_repos_owner_repo_issues_2_comments_201_20251219_1555ET.json,8d248dfc5f656628166a22f43f3439b1aae761107c2abcfc8ea67ec9abc39cb0
29,CATEGORY 3: COMMENT OPERATIONS TESTS,List Comments with Pagination,PASS,GET,/repos/{owner}/{repo}/issues/{issue_number}/comments?per_page=3,200,2025-12-19 16:11 ET,evidence/raw/TEST-029_GET_repos_owner_repo_issues_35336_comments_per_page_3_200_20251219_1611ET.json,df24edd7898b45d8917680bc5c47b90cdbff455c9bdfb7cf32326fd2631f18ce
30,CATEGORY 3: COMMENT OPERATIONS TESTS,List Comments with Since Filter,PASS,GET,/repos/{owner}/{repo}/issues/{issue_number}/comments?since=2025-12-19T00:00:00Z,200,2025-12-19 18:04 ET,evidence/raw/TEST-030_GET_repos_owner_repo_issues_35379_comments_since_2025-12-19t00_00_00z_200_20251219_1804ET.json,34df09482eaf02c3953b77810cb3a6dd5faa8e8ec14a8544560cb5a59d52947a
31,CATEGORY 4: MEDIA TYPE TESTS,Default Media Type (Raw Markdown),PASS,GET,/repos/facebook/react/issues/1,200,2025-12-20 03:19 ET,evidence/raw/TEST-031_GET_unknown_200_20251220_0319ET.json,14fb0066047cf7ac24acf1f7c2af1b5c1c490f1c209a0bb5ab4078f0bbd47c65
32,CATEGORY 4: MEDIA TYPE TESTS,Text-Only Media Type (`body_text`),PASS,GET,/repos/facebook/react/issues/1,200,2025-12-20 03:23 ET,evidence/raw/TEST-032_GET_unknown_200_20251220_0323ET.json,0ddae19a7cbdbfaf742a759834335220c8dbe5becbbdf8811ab7feb6d84a2e9f
33,CATEGORY 4: MEDIA TYPE TESTS,HTML Media Type (`body_html`),PASS,GET,/repos/facebook/react/issues/1,200,2025-12-20 03:25 ET,evidence/raw/TEST-033_GET_unknown_200_20251220_0325ET.json,0c19a323d44925175f4ee8c0e1bf6c0c3d36aaed033f6c381f1220954af28fdb
34,CATEGORY 4: MEDIA TYPE TESTS,Full Media Type (All Body Fields),PASS,GET,/repos/facebook/react/issues/1,200,2025-12-20 03:27 ET,evidence/raw/TEST-034_GET_unknown_200_20251220_0327ET.json,9b23b656acb98e04b32209a3e911e9024791e69e2c02c3e9dd6e194e70ce0fc5
35,CATEGORY 4: MEDIA TYPE TESTS,Invalid Issue Number (404),PASS,GET,/repos/{owner}/{repo}/issues/{issue_number},404,2025-12-20 03:34 ET,evidence/raw/TEST-035_GET_unknown_404_20251220_0334ET.json,92f250a9ffabbf9ad3170b3917bcd62feb8a593abd11b28829e574b06607b9a5
36,CATEGORY 4: MEDIA TYPE TESTS,Non-existent Repository (404),PASS,GET,/repos/{owner}/{repo}/issues,404,2025-12-20 03:39 ET,evidence/raw/TEST-036_GET_repos_owner_nonexistentrepo123456_issues_404_20251220_0339ET.json,7f626365901354a0640651e24a6325ac0d3ab55ec97cbd43d5a427823ade6209
37,CATEGORY 4: MEDIA TYPE TESTS,Create Issue - Missing Title (422),PASS,POST,/repos/{owner}/{repo}/issues,422,2025-12-20 03:41 ET,evidence/raw/TEST-037_POST_repos_owner_repo_issues_422_20251220_0341ET.json,60c0fe42e5ec964a8d9f23e303b9ce185050d00d0ea9f12b504061bfab7e9335
37a,CATEGORY 4: MEDIA TYPE TESTS,Create Issue Without Authorization (401/403),PASS,POST,/repos/{owner}/{repo}/issues,401,2025-12-20 03:46 ET,evidence/raw/TEST-037A_POST_repos_owner_repo_issues_401_20251220_0346ET.json,33200aabd00a993b48f338ec8a36fb646f06b6094592249f8a00d17571150ea3
38,CATEGORY 4: MEDIA TYPE TESTS,Create Issue - Empty Title (422),PASS,POST,/repos/{owner}/{repo}/issues,422,2025-12-20 03:48 ET,evidence/raw/TEST-038_POST_repos_owner_repo_issues_422_20251220_0348ET.json,a9d15ee4eeb966f92ed4ae6ff036e5700dfc32e67b6262cb7092a472e40e6525
39,CATEGORY 4: MEDIA TYPE TESTS,Create Comment - Empty Body (422),PASS,POST,/repos/{owner}/{repo}/issues/{issue_number}/comments,422,2025-12-20 03:52 ET,evidence/raw/TEST-039_POST_repos_owner_repo_issues_2_comments_422_20251220_0352ET.json,189fd3c3add4234811cbd774ec4d0513a436cfa3afe9d19414c16f42567d14d6
40,CATEGORY 4: MEDIA TYPE TESTS,Update Non-existent Issue (404),PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},404,2025-12-20 03:55 ET,evidence/raw/TEST-040_PATCH_repos_owner_repo_issues_999999_404_20251220_0355ET.json,a413589727a358874078119b81fdcf20886d60a582f567e797e1d210f6ee75e4
41,CATEGORY 4: MEDIA TYPE TESTS,Invalid State Value,PASS,GET,/repos/{owner}/{repo}/issues?state=invalid,422,2025-12-20 03:59 ET,evidence/raw/TEST-041_GET_unknown_422_20251220_0359ET.json,6e7f48066a6264531626e181aa071ec75681d92b4b28865b0550850cc1f6ffc1
42,CATEGORY 4: MEDIA TYPE TESTS,Invalid Sort Value,PASS,GET,/repos/{owner}/{repo}/issues?sort=invalid,200,2025-12-20 04:02 ET,evidence/raw/TEST-042_GET_unknown_200_20251220_0402ET.json,44f98dd323667f2b95bd92c5859a0d634c29cda9c51e2345a00062fca973c178
43,CATEGORY 6: EDGE CASES & BOUNDARIES,per_page Exceeding Maximum,PASS,GET,/repos/{owner}/{repo}/issues?per_page=150,200,2025-12-20 04:13 ET,evidence/raw/TEST-043_GET_unknown_200_20251220_0413ET.json,2c9d43b84281e3c22e4ebce5235cd9792151b242444688640d2a80723a235a20
44,CATEGORY 6: EDGE CASES & BOUNDARIES,per_page = 0,PASS,GET,/repos/{owner}/{repo}/issues?per_page=0,200,2025-12-20 04:20 ET,evidence/raw/TEST-044_GET_unknown_200_20251220_0420ET.json,0571bd4d76c448f06d1f4a34526b84739dca0bf7e00a2f1e8dcbae8bc1c2d29f
45,CATEGORY 6: EDGE CASES & BOUNDARIES,per_page Negative Value,PENDING,GET,/repos/{owner}/{repo}/issues?per_page=-5,200,2025-12-20 04:24 ET,evidence/raw/TEST-045_GET_unknown_200_20251220_0424ET.json,8941166d6966176af46aac139140f69bec572a51d79d637fcb03a4a536484dff
46,CATEGORY 6: EDGE CASES & BOUNDARIES,page = 0,PASS,GET,/repos/{owner}/{repo}/issues?page=0,200,2025-12-20 04:29 ET,evidence/raw/TEST-046_GET_unknown_200_20251220_0429ET.json,c090f6e7a254247ff6e28d8661c54c8214115aa96ffbd418130881ef7e2a39a0
47,CATEGORY 6: EDGE CASES & BOUNDARIES,Very High Page Number,PASS,GET,/repos/{owner}/{repo}/issues?page=9999,422,2025-12-20 04:31 ET,evidence/raw/TEST-047_GET_unknown_422_20251220_0431ET.json,33cd49d53a86f01d439b8ca2be7e0748d6be37ea76d646ffb08f1383219ceb6f
52,CATEGORY 6: EDGE CASES & BOUNDARIES,Filter by Non-existent Label,PENDING,POST,/repos/{owner}/{repo}/issues?labels=nonexistentlabel123,201,2026-01-06 16:05 ET,evidence/raw/TEST-052_POST_repos_owner_repo_issues_201_20260106_1605ET.json,152cdbc66f5e25f2d02282999be48d38699dc32e2017800d4f19cbbcb04946d6
53,CATEGORY 6: EDGE CASES & BOUNDARIES,Filter by Non-existent Assignee,PENDING,POST,/repos/{owner}/{repo}/issues?assignee=nonexistentuser999,201,2026-01-06 16:17 ET,evidence/raw/TEST-053_POST_repos_owner_repo_issues_201_20260106_1617ET.json,82a6900e9751992f14da01ba78b1b4f21e837f9f46ea3137ef37a05f2204f177
54,CATEGORY 6: EDGE CASES & BOUNDARIES,Empty Labels Array in Create,PASS,POST,/repos/{owner}/{repo}/issues,201,2026-01-06 16:05 ET,evidence/raw/TEST-054_POST_repos_owner_repo_issues_201_20260106_1605ET_01f3c1.json,152cdbc66f5e25f2d02282999be48d38699dc32e2017800d4f19cbbcb04946d6
55,CATEGORY 6: EDGE CASES & BOUNDARIES,Empty Assignees Array in Create,PASS,POST,/repos/{owner}/{repo}/issues,201,2026-01-06 16:17 ET,evidence/raw/TEST-055_POST_repos_owner_repo_issues_201_20260106_1617ET_236c56.json,82a6900e9751992f14da01ba78b1b4f21e837f9f46ea3137ef37a05f2204f177
58,CATEGORY 6: EDGE CASES & BOUNDARIES,Get Single PR via Issues Endpoint,PENDING,PATCH,/repos/{owner}/{repo}/issues/{pr_number},200,2026-01-06 17:17 ET,evidence/raw/TEST-058_PATCH_repos_owner_repo_issues_2_200_20260106_1717ET.json,bba3330e1db2c1dfce904953fd275f8d3568e391540295e2bb1378ef95c01e3c
59,CATEGORY 6: EDGE CASES & BOUNDARIES,Difference Between Issue ID and PR ID,PENDING,PATCH,/repos/{owner}/{repo}/issues/{pr_number},200,2026-01-06 17:21 ET,evidence/raw/TEST-059_PATCH_unknown_200_20260106_1721ET.json,9ea633b39607c5958d66efeabf63a907785960693dd4e8dbfdae57983042146d
60,CATEGORY 8: STATE TRANSITION TESTS,Close Issue - state_reason=completed,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2026-01-06 17:17 ET,evidence/raw/TEST-060_PATCH_repos_owner_repo_issues_2_200_20260106_1717ET_601f9e.json,bba3330e1db2c1dfce904953fd275f8d3568e391540295e2bb1378ef95c01e3c
61,CATEGORY 8: STATE TRANSITION TESTS,Close Issue - state_reason=not_planned,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2026-01-06 17:21 ET,evidence/raw/TEST-061_PATCH_unknown_200_20260106_1721ET_52e6e1.json,9ea633b39607c5958d66efeabf63a907785960693dd4e8dbfdae57983042146d
62,CATEGORY 8: STATE TRANSITION TESTS,Reopen Closed Issue,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2026-01-06 17:24 ET,evidence/raw/TEST-062_PATCH_repos_owner_repo_issues_1_200_20260106_1724ET.json,2813b2411214ac193d78646974528afe10abe48f2e16e0f01930e4c7990f2e1c
63,CATEGORY 8: STATE TRANSITION TESTS,Close Without state_reason,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2026-01-06 17:28 ET,evidence/raw/TEST-063_PATCH_repos_owner_repo_issues_1_200_20260106_1728ET.json,5bfb5a89e03b922a353a6d5b8ce64f1857d7a0fbbc2b2b03c9efd91820aafbea
65,CATEGORY 8: STATE TRANSITION TESTS,Create Issue with Assignees (With Push Access),PENDING,PATCH,/repos/{owner}/{repo}/issues,403,2026-01-06 17:33 ET,evidence/raw/TEST-065_PATCH_repos_owner_repo_issues_4_403_20260106_1733ET.json,9234ded2c56e62bc85fed0d9e687ecd1bf5f6cf4021e9d26f13596fd42af2dc7
66,CATEGORY 8: STATE TRANSITION TESTS,Create Issue with Milestone (With Push Access),PENDING,PATCH,/repos/{owner}/{repo}/issues,403,2026-01-06 17:33 ET,evidence/raw/TEST-066_PATCH_repos_owner_repo_issues_4_403_20260106_1733ET.json,9234ded2c56e62bc85fed0d9e687ecd1bf5f6cf4021e9d26f13596fd42af2dc7
67,CATEGORY 8: STATE TRANSITION TESTS,Update Issue Without Push Access (403 Forbidden),PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},403,2026-01-06 17:33 ET,evidence/raw/TEST-067_PATCH_repos_owner_repo_issues_4_403_20260106_1733ET_67cb66.json,9234ded2c56e62bc85fed0d9e687ecd1bf5f6cf4021e9d26f13596fd42af2dc7
V1,CATEGORY 8: STATE TRANSITION TESTS,Direction Parameter Behavior with Invalid Sort Value,FAIL,GET,,200,2026-01-12 15:39 ET,evidence/raw/TEST-V1_GET_repos_owner_repo_issues_sort_invalid_direction_asc_200_20260112_1539ET.json,5cc7a731df5c4a96110aae44391ec2567a222fbb602b63a037eaf3a88740c738
V2,CATEGORY 8: STATE TRANSITION TESTS,Confirm Per_Page Capping at 100,PASS,GET,,200,2026-01-12 15:39 ET,evidence/raw/TEST-V2_GET_repos_owner_repo_issues_per_page_150_200_20260112_1539ET.json,06f4bd48be6293dd0f490ecea26fb64a034546959f499a40cdb2c6fab58a228a
V3,CATEGORY 8: STATE TRANSITION TESTS,Per_Page with Zero Value,PASS,GET,,200,2026-01-12 15:39 ET,evidence/raw/TEST-V3_GET_repos_owner_repo_issues_per_page_0_200_20260112_1539ET.json,70c587fe3537f1f1dab605237c0425ad9d312c43623fc1ee94babddf8d667359
V4,CATEGORY 8: STATE TRANSITION TESTS,Per_Page with Negative Value,PASS,GET,,200,2026-01-12 15:39 ET,evidence/raw/TEST-V4_GET_repos_owner_repo_issues_per_page_-5_200_20260112_1539ET.json,fdbbb15184562c34d87f0e6fdb7544fbf981c2f267453d497bb514593abf6107
69,CATEGORY 8: STATE TRANSITION TESTS,Get Comment by ID (200),PASS,GET,/repos/{owner}/{repo}/issues/comments/{comment_id},200,2026-01-04 18:09 ET,evidence/raw/TEST-069_GET_unknown_200_20260104_1809ET.json,8a54cec52a25bd7cc8c601fdf80b304bb801780ff8dfde1b4ea82a5ec030d0a0
70,CATEGORY 8: STATE TRANSITION TESTS,Update Comment by ID (PATCH),PASS,PATCH,/repos/{owner}/{repo}/issues/comments/{comment_id},200,2026-01-04 18:15 ET,evidence/raw/TEST-070_PATCH_repos_owner_repo_issues_comments_3673471450_200_20260104_1815ET.json,42472879d36846ecac7defed41711c367b4bdce6ca1f32bf9343b9091186c577
71,CATEGORY 8: STATE TRANSITION TESTS,Delete Comment by ID (DELETE),PASS,DELETE,/repos/{owner}/{repo}/issues/comments/{comment_id},204,2026-01-04 18:21 ET,evidence/raw/TEST-071_DELETE_repos_owner_repo_issues_comments_3673471450_204_20260104_1821ET.json,f91cfab70b71e8bd3607dfd0071a88fcbc423f75250969ac828bcd03a4254359
72,CATEGORY 8: STATE TRANSITION TESTS,Get Non-existent Comment by ID (404),PASS,GET,/repos/{owner}/{repo}/issues/comments/{comment_id},404,2026-01-04 18:23 ET,evidence/raw/TEST-072_GET_unknown_404_20260104_1823ET.json,365e39e888a29606d85e2c8c49d5fb4c6cf11cb552bf85fe8a5d763498f82771
73,CATEGORY 8: STATE TRANSITION TESTS,Update Non-existent Comment by ID (404),PASS,PATCH,/repos/{owner}/{repo}/issues/comments/{comment_id},404,2026-01-04 18:25 ET,evidence/raw/TEST-073_PATCH_repos_owner_repo_issues_comments_3673471450_404_20260104_1825ET.json,bf44cc436c988bcdc1100397c1508b99de28989d8b2a2f5f145f892f4880dfcb
74,CATEGORY 8: STATE TRANSITION TESTS,Delete Non-existent Comment by ID (404),PASS,DELETE,/repos/{owner}/{repo}/issues/comments/{comment_id},404,2026-01-04 18:31 ET,evidence/raw/TEST-074_DELETE_repos_owner_repo_issues_comments_3673471450_404_20260104_1831ET.json,1c77e99fc8f3f0d5cb02e47ffe15a535d03a51c4f09c77a8f7df013d879226e4
75,CATEGORY 8: STATE TRANSITION TESTS,Update Issue - Clear Labels with Empty Array,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2026-01-06 17:07 ET,evidence/raw/TEST-075_PATCH_repos_owner_repo_issues_2_200_20260106_1707ET.json,8f32dfa465249e0aa758d1e91ebddae16aedda7462fea8ddf9444be07cd56cf5
76,CATEGORY 8: STATE TRANSITION TESTS,Update Issue - Clear Assignees with Empty Array,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2026-01-06 16:53 ET,evidence/raw/TEST-076_PATCH_repos_owner_repo_issues_2_200_20260106_1653ET.json,a1598021af560021383c76024173d63c0a504f7c7af1d50c636bc72730ae4582
77,CATEGORY 8: STATE TRANSITION TESTS,Invalid Sort - Identify Fallback Sort Field,PASS,GET,/repos/{owner}/{repo}/issues,200,2026-01-06 16:57 ET,evidence/raw/TEST-077_GET_repos_owner_repo_issues_sort_not_a_real_sort_direction_desc_per_page_5_pag_200_20260106_1657ET.json,d0c983454415c69de58ca3a8bde65dc8a57c324c0f01a33a97c2d8f11131d6c1
78,CATEGORY 8: STATE TRANSITION TESTS,Sort Direction Default When Omitted,PASS,GET,/repos/{owner}/{repo}/issues,200,2026-01-06 17:56 ET,evidence/raw/TEST-078_GET_unknown_200_20260106_1756ET.json,6ae037ac480fd7ebc5b599968e84313e170f4d0d30906031cea493c4267939c1
79,CATEGORY 8: STATE TRANSITION TESTS,PATCH Issue With state_reason=reopened (Validation Check),PASS,GET,/repos/{owner}/{repo}/issues/{issue_number},422,2026-01-06 18:09 ET,evidence/raw/TEST-079_GET_unknown_422_20260106_1809ET.json,1b24d00891eb27b869415358114fe3a886d43321aea4b0f12005a1dcd9f318d6
